simulation_id,timestamp,success,error,mass_variation_percent,cd_multiplier,thrust_scale,cg_offset_m
sim_000040,2025-10-30T18:04:29.228762,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,1.0,0
sim_000041,2025-10-30T18:04:29.228780,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,1.0,0.03
sim_000042,2025-10-30T18:04:29.228797,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,1.05,-0.03
sim_000043,2025-10-30T18:04:29.228816,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,1.05,0
sim_000044,2025-10-30T18:04:29.228833,False,type object 'Rocket' has no attribute 'from_ork',-10,1.1,1.05,0.03
sim_000045,2025-10-30T18:04:29.228850,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,0.95,-0.03
sim_000046,2025-10-30T18:04:29.228867,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,0.95,0
sim_000047,2025-10-30T18:04:29.228885,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,0.95,0.03
sim_000048,2025-10-30T18:04:29.228902,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,1.0,-0.03
sim_000049,2025-10-30T18:04:29.228923,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,1.0,0
sim_000050,2025-10-30T18:04:29.228941,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,1.0,0.03
sim_000051,2025-10-30T18:04:29.228959,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,1.05,-0.03
sim_000052,2025-10-30T18:04:29.228977,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,1.05,0
sim_000053,2025-10-30T18:04:29.228998,False,type object 'Rocket' has no attribute 'from_ork',-5,0.9,1.05,0.03
sim_000054,2025-10-30T18:04:29.229015,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,0.95,-0.03
sim_000055,2025-10-30T18:04:29.229033,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,0.95,0
sim_000056,2025-10-30T18:04:29.229051,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,0.95,0.03
sim_000057,2025-10-30T18:04:29.229069,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,1.0,-0.03
sim_000058,2025-10-30T18:04:29.229087,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,1.0,0
sim_000059,2025-10-30T18:04:29.229106,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,1.0,0.03
sim_000060,2025-10-30T18:04:29.229125,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,1.05,-0.03
sim_000061,2025-10-30T18:04:29.229145,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,1.05,0
sim_000062,2025-10-30T18:04:29.229164,False,type object 'Rocket' has no attribute 'from_ork',-5,0.95,1.05,0.03
sim_000063,2025-10-30T18:04:29.229183,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,0.95,-0.03
sim_000064,2025-10-30T18:04:29.229200,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,0.95,0
sim_000065,2025-10-30T18:04:29.229218,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,0.95,0.03
sim_000066,2025-10-30T18:04:29.229237,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,1.0,-0.03
sim_000067,2025-10-30T18:04:29.229255,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,1.0,0
sim_000068,2025-10-30T18:04:29.229274,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,1.0,0.03
sim_000069,2025-10-30T18:04:29.229298,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,1.05,-0.03
sim_000070,2025-10-30T18:04:29.229318,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,1.05,0
sim_000071,2025-10-30T18:04:29.229335,False,type object 'Rocket' has no attribute 'from_ork',-5,1.0,1.05,0.03
sim_000072,2025-10-30T18:04:29.229352,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,0.95,-0.03
sim_000073,2025-10-30T18:04:29.229370,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,0.95,0
sim_000074,2025-10-30T18:04:29.229388,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,0.95,0.03
sim_000075,2025-10-30T18:04:29.229407,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,1.0,-0.03
sim_000076,2025-10-30T18:04:29.229470,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,1.0,0
sim_000077,2025-10-30T18:04:29.229494,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,1.0,0.03
sim_000078,2025-10-30T18:04:29.229514,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,1.05,-0.03
sim_000079,2025-10-30T18:04:29.229537,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,1.05,0
sim_000080,2025-10-30T18:04:29.229556,False,type object 'Rocket' has no attribute 'from_ork',-5,1.05,1.05,0.03
sim_000081,2025-10-30T18:04:29.229574,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,0.95,-0.03
sim_000082,2025-10-30T18:04:29.229594,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,0.95,0
sim_000083,2025-10-30T18:04:29.229611,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,0.95,0.03
sim_000084,2025-10-30T18:04:29.229629,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,1.0,-0.03
sim_000085,2025-10-30T18:04:29.229647,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,1.0,0
sim_000086,2025-10-30T18:04:29.229664,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,1.0,0.03
sim_000087,2025-10-30T18:04:29.229681,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,1.05,-0.03
sim_000088,2025-10-30T18:04:29.229698,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,1.05,0
sim_000089,2025-10-30T18:04:29.229719,False,type object 'Rocket' has no attribute 'from_ork',-5,1.1,1.05,0.03
sim_000090,2025-10-30T18:04:29.229737,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,0.95,-0.03
sim_000091,2025-10-30T18:04:29.229756,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,0.95,0
sim_000092,2025-10-30T18:04:29.229775,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,0.95,0.03
sim_000093,2025-10-30T18:04:29.229795,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,1.0,-0.03
sim_000094,2025-10-30T18:04:29.229813,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,1.0,0
sim_000095,2025-10-30T18:04:29.229831,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,1.0,0.03
sim_000096,2025-10-30T18:04:29.229849,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,1.05,-0.03
sim_000097,2025-10-30T18:04:29.229868,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,1.05,0
sim_000098,2025-10-30T18:04:29.229887,False,type object 'Rocket' has no attribute 'from_ork',0,0.9,1.05,0.03
sim_000099,2025-10-30T18:04:29.229909,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,0.95,-0.03
sim_000100,2025-10-30T18:04:29.229928,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,0.95,0
sim_000101,2025-10-30T18:04:29.229947,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,0.95,0.03
sim_000102,2025-10-30T18:04:29.229965,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,1.0,-0.03
sim_000103,2025-10-30T18:04:29.229983,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,1.0,0
sim_000104,2025-10-30T18:04:29.230001,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,1.0,0.03
sim_000105,2025-10-30T18:04:29.230019,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,1.05,-0.03
sim_000106,2025-10-30T18:04:29.230037,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,1.05,0
sim_000107,2025-10-30T18:04:29.230054,False,type object 'Rocket' has no attribute 'from_ork',0,0.95,1.05,0.03
sim_000108,2025-10-30T18:04:29.230072,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,0.95,-0.03
sim_000109,2025-10-30T18:04:29.230093,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,0.95,0
sim_000110,2025-10-30T18:04:29.230113,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,0.95,0.03
sim_000111,2025-10-30T18:04:29.230136,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,1.0,-0.03
sim_000112,2025-10-30T18:04:29.230154,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,1.0,0
sim_000113,2025-10-30T18:04:29.230173,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,1.0,0.03
sim_000114,2025-10-30T18:04:29.230191,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,1.05,-0.03
sim_000115,2025-10-30T18:04:29.230209,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,1.05,0
sim_000116,2025-10-30T18:04:29.230227,False,type object 'Rocket' has no attribute 'from_ork',0,1.0,1.05,0.03
sim_000117,2025-10-30T18:04:29.230244,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,0.95,-0.03
sim_000118,2025-10-30T18:04:29.230262,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,0.95,0
sim_000119,2025-10-30T18:04:29.230283,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,0.95,0.03
sim_000120,2025-10-30T18:04:29.230309,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,1.0,-0.03
sim_000121,2025-10-30T18:04:29.230331,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,1.0,0
sim_000122,2025-10-30T18:04:29.230349,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,1.0,0.03
sim_000123,2025-10-30T18:04:29.230367,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,1.05,-0.03
sim_000124,2025-10-30T18:04:29.230385,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,1.05,0
sim_000125,2025-10-30T18:04:29.230403,False,type object 'Rocket' has no attribute 'from_ork',0,1.05,1.05,0.03
sim_000126,2025-10-30T18:04:29.230420,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,0.95,-0.03
sim_000127,2025-10-30T18:04:29.230438,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,0.95,0
sim_000128,2025-10-30T18:04:29.230456,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,0.95,0.03
sim_000129,2025-10-30T18:04:29.230477,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,1.0,-0.03
sim_000130,2025-10-30T18:04:29.230496,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,1.0,0
sim_000131,2025-10-30T18:04:29.230513,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,1.0,0.03
sim_000132,2025-10-30T18:04:29.230531,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,1.05,-0.03
sim_000133,2025-10-30T18:04:29.230548,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,1.05,0
sim_000134,2025-10-30T18:04:29.230566,False,type object 'Rocket' has no attribute 'from_ork',0,1.1,1.05,0.03
sim_000135,2025-10-30T18:04:29.230583,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,0.95,-0.03
sim_000136,2025-10-30T18:04:29.230601,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,0.95,0
sim_000137,2025-10-30T18:04:29.230619,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,0.95,0.03
sim_000138,2025-10-30T18:04:29.230636,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,1.0,-0.03
sim_000139,2025-10-30T18:04:29.230661,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,1.0,0
sim_000140,2025-10-30T18:04:29.230681,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,1.0,0.03
sim_000141,2025-10-30T18:04:29.230700,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,1.05,-0.03
sim_000142,2025-10-30T18:04:29.230720,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,1.05,0
sim_000143,2025-10-30T18:04:29.230740,False,type object 'Rocket' has no attribute 'from_ork',5,0.9,1.05,0.03
sim_000144,2025-10-30T18:04:29.230759,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,0.95,-0.03
sim_000145,2025-10-30T18:04:29.230778,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,0.95,0
sim_000146,2025-10-30T18:04:29.230797,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,0.95,0.03
sim_000147,2025-10-30T18:04:29.230815,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,1.0,-0.03
sim_000148,2025-10-30T18:04:29.230834,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,1.0,0
sim_000149,2025-10-30T18:04:29.230856,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,1.0,0.03
sim_000150,2025-10-30T18:04:29.230875,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,1.05,-0.03
sim_000151,2025-10-30T18:04:29.230894,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,1.05,0
sim_000152,2025-10-30T18:04:29.230911,False,type object 'Rocket' has no attribute 'from_ork',5,0.95,1.05,0.03
sim_000153,2025-10-30T18:04:29.230930,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,0.95,-0.03
sim_000154,2025-10-30T18:04:29.230949,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,0.95,0
sim_000155,2025-10-30T18:04:29.230966,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,0.95,0.03
sim_000156,2025-10-30T18:04:29.230984,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,1.0,-0.03
sim_000157,2025-10-30T18:04:29.231002,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,1.0,0
sim_000158,2025-10-30T18:04:29.231019,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,1.0,0.03
sim_000159,2025-10-30T18:04:29.231040,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,1.05,-0.03
sim_000160,2025-10-30T18:04:29.231060,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,1.05,0
sim_000161,2025-10-30T18:04:29.231077,False,type object 'Rocket' has no attribute 'from_ork',5,1.0,1.05,0.03
sim_000162,2025-10-30T18:04:29.231095,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,0.95,-0.03
sim_000163,2025-10-30T18:04:29.231112,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,0.95,0
sim_000164,2025-10-30T18:04:29.231131,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,0.95,0.03
sim_000165,2025-10-30T18:04:29.231150,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,1.0,-0.03
sim_000166,2025-10-30T18:04:29.231170,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,1.0,0
sim_000167,2025-10-30T18:04:29.231189,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,1.0,0.03
sim_000168,2025-10-30T18:04:29.231207,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,1.05,-0.03
sim_000169,2025-10-30T18:04:29.231228,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,1.05,0
sim_000170,2025-10-30T18:04:29.231246,False,type object 'Rocket' has no attribute 'from_ork',5,1.05,1.05,0.03
sim_000171,2025-10-30T18:04:29.231264,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,0.95,-0.03
sim_000172,2025-10-30T18:04:29.231282,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,0.95,0
sim_000173,2025-10-30T18:04:29.231302,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,0.95,0.03
sim_000174,2025-10-30T18:04:29.231320,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,1.0,-0.03
sim_000175,2025-10-30T18:04:29.231337,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,1.0,0
sim_000176,2025-10-30T18:04:29.231355,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,1.0,0.03
sim_000177,2025-10-30T18:04:29.231372,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,1.05,-0.03
sim_000178,2025-10-30T18:04:29.231389,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,1.05,0
sim_000179,2025-10-30T18:04:29.231411,False,type object 'Rocket' has no attribute 'from_ork',5,1.1,1.05,0.03
sim_000180,2025-10-30T18:04:29.231429,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,0.95,-0.03
sim_000181,2025-10-30T18:04:29.231447,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,0.95,0
sim_000182,2025-10-30T18:04:29.231464,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,0.95,0.03
sim_000183,2025-10-30T18:04:29.231482,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,1.0,-0.03
sim_000184,2025-10-30T18:04:29.231500,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,1.0,0
sim_000185,2025-10-30T18:04:29.231518,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,1.0,0.03
sim_000186,2025-10-30T18:04:29.231537,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,1.05,-0.03
sim_000187,2025-10-30T18:04:29.231555,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,1.05,0
sim_000188,2025-10-30T18:04:29.231573,False,type object 'Rocket' has no attribute 'from_ork',10,0.9,1.05,0.03
sim_000189,2025-10-30T18:04:29.231594,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,0.95,-0.03
sim_000190,2025-10-30T18:04:29.231612,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,0.95,0
sim_000191,2025-10-30T18:04:29.231630,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,0.95,0.03
sim_000192,2025-10-30T18:04:29.231648,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,1.0,-0.03
sim_000193,2025-10-30T18:04:29.231665,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,1.0,0
sim_000194,2025-10-30T18:04:29.231683,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,1.0,0.03
sim_000195,2025-10-30T18:04:29.231700,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,1.05,-0.03
sim_000196,2025-10-30T18:04:29.231720,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,1.05,0
sim_000197,2025-10-30T18:04:29.231738,False,type object 'Rocket' has no attribute 'from_ork',10,0.95,1.05,0.03
sim_000198,2025-10-30T18:04:29.231756,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,0.95,-0.03
sim_000199,2025-10-30T18:04:29.231778,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,0.95,0
sim_000200,2025-10-30T18:04:29.231797,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,0.95,0.03
sim_000201,2025-10-30T18:04:29.231815,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,1.0,-0.03
sim_000202,2025-10-30T18:04:29.231833,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,1.0,0
sim_000203,2025-10-30T18:04:29.231850,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,1.0,0.03
sim_000204,2025-10-30T18:04:29.231868,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,1.05,-0.03
sim_000205,2025-10-30T18:04:29.231886,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,1.05,0
sim_000206,2025-10-30T18:04:29.231903,False,type object 'Rocket' has no attribute 'from_ork',10,1.0,1.05,0.03
sim_000207,2025-10-30T18:04:29.231920,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,0.95,-0.03
sim_000208,2025-10-30T18:04:29.231938,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,0.95,0
sim_000209,2025-10-30T18:04:29.231959,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,0.95,0.03
sim_000210,2025-10-30T18:04:29.231977,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,1.0,-0.03
sim_000211,2025-10-30T18:04:29.231995,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,1.0,0
sim_000212,2025-10-30T18:04:29.232013,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,1.0,0.03
sim_000213,2025-10-30T18:04:29.232031,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,1.05,-0.03
sim_000214,2025-10-30T18:04:29.232048,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,1.05,0
sim_000215,2025-10-30T18:04:29.232070,False,type object 'Rocket' has no attribute 'from_ork',10,1.05,1.05,0.03
sim_000216,2025-10-30T18:04:29.232088,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,0.95,-0.03
sim_000217,2025-10-30T18:04:29.232107,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,0.95,0
sim_000218,2025-10-30T18:04:29.232126,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,0.95,0.03
sim_000219,2025-10-30T18:04:29.232147,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,1.0,-0.03
sim_000220,2025-10-30T18:04:29.232165,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,1.0,0
sim_000221,2025-10-30T18:04:29.232182,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,1.0,0.03
sim_000222,2025-10-30T18:04:29.232199,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,1.05,-0.03
sim_000223,2025-10-30T18:04:29.232218,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,1.05,0
sim_000224,2025-10-30T18:04:29.232236,False,type object 'Rocket' has no attribute 'from_ork',10,1.1,1.05,0.03
sim_000225,2025-10-30T18:04:29.232254,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,0.95,-0.03
sim_000226,2025-10-30T18:04:29.232272,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,0.95,0
sim_000227,2025-10-30T18:04:29.232294,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,0.95,0.03
sim_000228,2025-10-30T18:04:29.232313,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,1.0,-0.03
sim_000229,2025-10-30T18:04:29.232334,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,1.0,0
sim_000230,2025-10-30T18:04:29.232352,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,1.0,0.03
sim_000231,2025-10-30T18:04:29.232370,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,1.05,-0.03
sim_000232,2025-10-30T18:04:29.232387,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,1.05,0
sim_000233,2025-10-30T18:04:29.232406,False,type object 'Rocket' has no attribute 'from_ork',15,0.9,1.05,0.03
sim_000234,2025-10-30T18:04:29.232424,False,type object 'Rocket' has no attribute 'from_ork',15,0.95,0.95,-0.03
